cores,time
1,50.66153693199158
2,50.65720796585083
3,50.67892384529114
4,50.65551233291626
5,50.66735911369324
10,50.66860842704773
20,50.676573514938354
40,50.685370683670044
60,50.65188717842102
72,50.67272162437439
1,50.660141944885254
2,50.65910840034485
3,50.672637939453125
4,50.66513991355896
5,50.681857109069824
10,50.67456865310669
20,50.687140464782715
40,50.65526556968689
60,50.65907073020935
72,50.684627294540405
1,50.65955972671509
2,50.672916889190674
3,50.66456699371338
4,50.67953562736511
5,50.66553211212158
10,50.673757791519165
20,50.67164993286133
40,50.667226791381836
60,50.65686893463135
72,50.683428049087524
1,50.665740728378296
2,50.67108416557312
3,50.67350769042969
4,50.67761492729187
5,50.66200232505798
10,50.67198896408081
20,50.663792848587036
40,50.65853786468506
60,50.680089235305786
72,50.70336937904358
1,50.67263722419739
2,50.69007229804993
3,50.68212556838989
4,50.68357253074646
5,50.66214179992676
10,50.64182424545288
20,50.6376531124115
40,50.63628339767456
60,50.62874174118042
72,50.659558057785034
1,50.66545867919922
2,50.646427154541016
3,50.68167066574097
4,50.71475028991699
5,50.69717741012573
10,50.70996594429016
20,50.69848561286926
40,50.68523693084717
60,50.67557454109192
72,50.70523023605347
