Banking,184.472,185.276,1.5318
Sleeping Barber,3652.19,3635.97,0.26003
Bounded Buffer,2983.6,2978.74,0.121577
Cigarette Smokers,1.86792,1.72671,4.02073
Concurrent Dictionary,256.499,255.373,0.36881
Concurrent Sorted Linked-List,13653,13629.6,0.222822
Logistic Map Series,832.252,831.549,0.133371
Dining Philosophers,142.423,142.573,0.517005
Big,250.282,249.905,0.27546
Chameneos,110.057,109.457,0.457188
Count,25.0864,24.4359,1.44191
Fib,321.658,318.47,0.805205
Fork-Join Create,50.2142,49.835,1.59669
Fork-Join Throughput,50.2196,46.7268,3.62631
Ping Pong,7.16964,7.17908,0.406208
Thread Ring,11.0487,10.8962,1.10435
Filterbank,2786.82,2783.57,0.108732
Quicksort,233.734,233.268,0.241521
Radixsort,180.428,179.24,0.455848
Recursive Matrix Multiplication,9824.77,9803.25,2.60114
Sieve of Eratosthenes,221.687,146.691,65.5301
Trapezoid,841.872,840.898,0.140082
