SchedulerStats,Tag,DumpID,Steal,LIFO,Pause,Unpause,Cown count,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
SchedulerStats,Banking,0,0,1,1,0,1001,0,50001,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
SchedulerStats,Sleeping Barber,1,0,1,1,1,5003,0,68077,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
SchedulerStats,Concurrent Dictionary,2,0,1,1,1,22,0,400041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SchedulerStats,Dining Philosophers,3,0,20,1,1,41,0,200020,199980,0,0,0,0,0,0,0,0,0,0,0,0,0
SchedulerStats,Logistic Map Series,4,0,10,1,1,21,0,0,250010,0,0,0,0,0,0,0,0,0,0,0,0,0
SchedulerStats,Chameneos,5,0,1,1,1,101,0,400100,200100,0,0,0,0,0,0,0,0,0,0,0,0,0
SchedulerStats,Count,6,0,1,1,1,2,0,1000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SchedulerStats,Fib,7,0,28657,1,1,75025,0,0,75024,0,0,0,0,0,0,0,0,0,0,0,0,0
SchedulerStats,Fork-Join Create,8,0,40000,1,1,40001,0,40000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0
SchedulerStats,Fork-Join Throughput,9,0,60,1,1,61,0,600000,60,0,0,0,0,0,0,0,0,0,0,0,0,0
SchedulerStats,Quicksort,10,0,968,1,1,968,0,968,967,0,0,0,0,0,0,0,0,0,0,0,0,0
SchedulerStats,Trapezoid,11,0,100,1,1,100,0,100,99,0,0,0,0,0,0,0,0,0,0,0,0,0
