benchmark,mean,median,error
Banking,7.9103,7.882,1.21933
Sleeping Barber,12.487,12.1425,7.69673
Concurrent Dictionary,29.5766,29.2695,0.388808
Dining Philosophers,22.2106,21.808,0.696569
Logistic Map Series,17.3606,18.4005,1.0056
Chameneos,49.209,49.8505,0.291241
Count,45.3644,44.8365,0.387206
Fib,10.9073,11.017,0.399287
Fork-Join Create,9.64196,9.701,0.305908
Fork-Join Throughput,35.7521,39.1595,1.18271
Quicksort,105.858,104.609,0.340471
Trapezoid,958.272,963.652,0.138203
